date,open,high,low,close,volume,turnover,ret_1,ret_2,ret_3,sma_5,sma_10,sma_20,ema_12,ema_26,vol_10,vol_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,vol_change_1,vol_mean_10,close_lag1,ret_lag_1,close_lag2,ret_lag_2,close_lag3,ret_lag_3,close_lag5,ret_lag_5,close_lag10,ret_lag_10,target
02-01-2019,10868.85,10895.35,10735.05,10792.5,309665939,15352.25,-0.467507734,-0.426312292,-0.371319225,16029.77,17140.8,17624.9875,17347.375,17600.93079,0.357550702,0.36539559,49.58636235,-253.5557975,293.9674245,-547.5232219,27276.30759,7973.667409,1.095186035,0.164978555,349897846,20267.9,0.077363455,18812.5,0.095858891,17166.9,0.309545696,24304.35,0.27990721,24836.3,-0.037237032,FALSE
03-01-2019,10796.8,10814.05,10661.25,10672.25,286241745,15030.45,-0.560379469,-0.429172394,-0.386710456,16831.96,16298.22,17381.065,17085.09858,17442.93589,0.368712832,0.365613041,49.3631342,-357.8373118,-117.4869658,-240.350346,26864.67541,7897.454589,1.091257689,0.298830687,386090082.2,24276.05,0.298455293,18696.1,0.074386624,17401.65,0.326977409,12048.2,-0.370300393,24579.6,-0.027655694,TRUE
04-01-2019,10699.7,10741.05,10628.65,10727.35,296596655,14516.74,-0.561381845,-0.376197177,-0.183231942,15501.86,17019.865,17885.8475,17419.84203,17711.83694,0.413284301,0.38337502,49.63913762,-291.9949083,160.0024519,-451.9973603,29082.55986,6689.135136,1.252019214,-0.126297382,393171395.8,24457.15,0.42220019,17196.7,0.309336907,13133.9,0.095020927,25763.35,0.339705989,24894.25,-0.014093013,TRUE
07-01-2019,10804.85,10835.95,10750.15,10771.8,269371080,12731.29,-0.563502419,-0.485530884,-0.422198978,18388.46,18553.285,18418.3425,18229.83456,18127.17016,0.365729844,0.361153245,45.41510929,102.6644087,373.4446314,-270.7802227,28193.48344,8643.201561,1.061457179,0.188063035,339449299.8,24677.8,0.178629935,20937.7,0.123101474,18642.75,0.102322281,11921.5,-0.532667966,11966.05,-0.522840059,TRUE
08-01-2019,10786.25,10818.45,10733.25,10802.15,277697672,13433.48,-0.483179155,-0.418003287,-0.371116105,16159.25,18010.945,17702.6175,17785.78823,17931.77579,0.360420057,0.35425817,49.33734965,-145.9875639,389.3069019,-535.2944658,27379.70104,8025.53396,1.093294089,0.009863669,330322620.7,20901.15,0.12610921,18560.5,0.080562623,17176.7,0.286090261,25492.3,0.053429121,25108.3,0.012604983,TRUE
09-01-2019,10862.4,10870.4,10749.4,10855.15,333010535,16213.3,-0.482333782,-0.416683011,-0.378631635,16259.32,17991.115,18709.855,17650.68409,17979.42026,0.357415797,0.363124659,44.72207406,-328.7361663,252.5208737,-581.25704,28526.42618,8893.28382,1.049347649,0.138728151,347705432.5,20969.4,0.126820657,18609.35,0.065232759,17469.75,0.304398956,24148.2,0.241967753,25013.15,0.397757499,FALSE
10-01-2019,10859.35,10859.35,10801.8,10821.6,254365477,12031.26,-0.560437061,-0.414941124,-0.382217693,16996.63,16497.825,17708.3725,17206.40057,17487.12479,0.355690974,0.347262416,49.63556289,-280.7242249,-35.64519204,-245.0790329,28057.84695,7358.898054,1.168879234,0.025091426,339645676.8,24619,0.331001373,18496.6,0.05593186,17516.85,0.294753531,11937.5,-0.384515836,25181.8,0.007999776,FALSE
11-01-2019,10834.75,10850.15,10739.4,10794.95,260792200,13084.6,-0.561360095,-0.383543769,-0.19908668,15650.28,17192.76,18445.905,17597.92281,17955.19849,0.396299648,0.434831188,49.72502383,-357.2756823,112.1791965,-469.4548788,29041.33334,7850.47666,1.148810898,-0.000983536,369108835.6,24610.05,0.405381097,17511.3,0.299221712,13478.3,0.136756966,25574.35,0.316545133,25285.35,0.011476712,FALSE
14-01-2019,10807,10808,10692.35,10737.6,298774178,12732.57,-0.566478119,-0.486886151,-0.422957868,18481.7,18609.69,18543.91,18293.50132,18187.4984,0.35744868,0.35763653,45.1972584,106.0029264,395.2660969,-289.2631705,28274.31934,8813.500658,1.049445273,-0.036463632,330394670.2,24768.3,0.18359389,20926.35,0.124588887,18608,0.071380248,12086.7,-0.532956067,11840.45,-0.530650266,TRUE
15-01-2019,10777.55,10896.95,10777.55,10886.8,310737078,14879.91,-0.486052297,-0.416579583,-0.371609649,16322.57,17403.71,17503.695,17619.47217,17750.27407,0.353963505,0.35366713,49.258012,-130.8018981,297.1282028,-427.9301009,27405.10381,7602.286194,1.131350701,-0.070791751,342794964.8,21182.7,0.135174676,18660.3,0.07707981,17324.9,0.277821827,25910.05,0.101023257,25145.5,0.000698425,TRUE
16-01-2019,10899.65,10928.15,10876.9,10890.3,276539042,13081.63,-0.492451058,-0.408614763,-0.367629809,16310.22,17495.84,18254.355,17134.14115,17354.03281,0.333038193,0.425869749,44.05116914,-219.8916616,193.9986015,-413.8902631,28520.24116,7988.468841,1.124760218,-0.456446876,337390520.7,21456.65,0.165178741,18414.9,0.069303309,17221.4,0.269279952,19675.45,0.06912038,25057.35,1.145256777,TRUE
17-01-2019,10920.85,10930.65,10844.65,10905.2,271676319,13215.83,-0.557925674,-0.403076249,-0.36775585,16954.71,17858.685,17745.38,17504.16688,17780.06482,0.290628162,0.352441684,39.95340433,-275.8979316,88.40514632,-364.3030779,28400.90783,7089.852172,1.200935435,0.448541505,299839372.7,24668.25,0.350279161,18269,0.059170706,17248.4,0.260599151,12053.95,-0.390142776,24971.3,0.265539042,TRUE
18-01-2019,10914.85,10928.2,10852.2,10906.95,323814108,16408.83,-0.551818294,-0.357855663,-0.206230396,15626.77,17299.585,18141.6425,17593.74571,17775.25615,0.38829132,0.370292016,49.57295633,-181.5104409,328.6332138,-510.1436547,29280.48169,7002.803307,1.227985745,0.222488845,356422456.4,24336,0.43277677,16985.2,0.236123342,13740.7,0.129527333,26013.45,0.318351595,25709.85,0.038788114,TRUE
21-01-2019,10919.35,10987.45,10885.75,10961.85,288829125,17289.7,-0.53526868,-0.481712896,-0.403770947,18139.8,17371.51,17950.3975,17918.42857,17902.72119,0.397858181,0.382541773,49.42464934,15.70738004,285.5419113,-269.8345312,27890.06165,8010.733348,1.107458946,-0.347594933,413062640.3,23587.5,0.115240317,21150.15,0.15038373,18385.3,0.106601582,12271.8,-0.531470307,25843.15,0.322397423,FALSE
22-01-2019,10949.8,10949.8,10864.15,10922.75,300768112,17483.62,-0.48611036,-0.399819222,-0.348706237,16095.23,17980.595,18475.235,17911.97323,18199.38712,0.363126972,0.355607236,49.31548888,-287.4138912,289.8445699,-577.2584611,28281.20501,8669.26499,1.061525876,0.0836613,331655987.1,21255.05,0.167917644,18199.1,0.085162648,16770.85,0.258279313,26068.15,0.116413775,25868.6,0.04388425,FALSE
23-01-2019,10931.05,10944.8,10811.95,10831.5,298876314,14736.91,-0.492655531,-0.402477472,-0.361178854,16146,17202.425,17708.6425,17253.36086,17537.71602,0.343848701,0.359731739,41.00587994,-284.3551594,105.2260028,-389.5811623,27195.88578,8221.39922,1.071481711,0.049760984,325638576.9,21349.4,0.17774523,18127.35,0.06911642,16955.45,0.259102352,23907.25,0.206714668,24472.1,0.350937626,TRUE
24-01-2019,10844.05,10866.6,10798.65,10849.8,361082096,15298.48,-0.543232667,-0.390693443,-0.36449047,16616.75,16384.555,17718.9675,17055.5638,17448.92263,0.335244372,0.34772677,49.42909172,-393.3588295,-82.97199253,-310.386837,28083.7294,7354.205596,1.169905854,0.902853345,332347040.9,23753.45,0.333953883,17806.8,0.04300458,17072.6,0.255236709,12262.75,-0.380731744,25891.4,0.059581347,FALSE
25-01-2019,10859.75,10931.7,10756.45,10780.55,463444758,20542.36,-0.545654542,-0.365989855,-0.215917232,15495.15,17218.425,18116.155,17486.68756,17814.00981,0.375263438,0.379164751,42.20181381,-327.3222494,181.5227861,-508.8450356,29160.8473,7071.462702,1.219319695,1.60853528,344984416.5,23727.65,0.395436301,17003.75,0.23670382,13749.25,0.125645235,25959.5,0.3114369,25795.15,0.057204276,FALSE
28-01-2019,10792.45,10804.45,10630.95,10661.55,419682627,21144.33,-0.552287788,-0.507657673,-0.412013368,18269.65,17890.465,17484.3325,17611.32338,17521.61642,0.461622222,0.411769378,49.38162024,89.70695844,238.8939983,-149.1870398,27585.87901,7382.785992,1.155496958,1.373481602,390380622.8,23813.4,0.099684827,21654.75,0.194263828,18132.3,0.061221743,12245.8,-0.495536542,19047.25,0.073874031,FALSE
29-01-2019,10653.7,10690.35,10583.65,10652.2,356908994,18832.06,-0.51088908,-0.412211339,-0.381880957,16331.97,18211.38,18436.9075,17607.1016,17867.45413,0.357398071,0.35785503,44.22155624,-260.3525252,234.354699,-494.7072242,28053.34844,8820.466562,1.043172879,-0.092021195,334204287.1,21778.7,0.201749207,18122.5,0.05160083,17233.25,0.242197186,23914.15,0.202338396,24339.15,0.368382733,FALSE
30-01-2019,10702.25,10710.2,10612.85,10651.8,410107910,21214.81,-0.5098429,-0.414446704,-0.381198587,16344.08,17367.615,17767.56,17578.36846,17886.81253,0.341042017,0.358382455,49.1851636,-308.4440743,168.0686677,-476.512742,27416.21328,8118.906721,1.086097729,0.513747471,343027655.7,21731.4,0.194623715,18191,0.056780685,17213.6,0.235490863,24131.1,0.200755352,26053.9,0.064865318,TRUE
31-01-2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18,-0.541932933,-0.401780142,-0.370438184,16753.41,17777.545,17630.0075,17349.28197,17709.36163,0.287733708,0.354014081,40.34043633,-360.079662,26.15507945,-386.2347414,28014.30243,7245.712574,1.178025015,0.657356023,386194488,23644.9,0.305965656,18105.3,0.052392038,17203.95,0.23043996,12255.85,-0.391260185,24340.85,0.271666954,TRUE
04-02-2019,10876.75,10927.9,10814.15,10912.25,318300039,15478.81,-0.496170113,-0.395206992,-0.387133009,16510.39,16006.125,17531.2525,16815.79756,17310.52051,0.385646822,0.370486858,49.4038512,-494.7229471,-162.5671441,-332.155803,27559.23849,7503.266507,1.144012499,-0.061539912,388314316.1,21658.6,0.200391289,18042.95,0.013349995,17805.25,0.259844052,10727.35,-0.561381845,25763.35,0.339705989,TRUE
05-02-2019,10908.65,10956.7,10886.7,10934.35,268095127,13435.13,-0.496363561,-0.392271074,-0.390002929,16552.41,17881.57,17664.29,17542.20674,17842.46762,0.361479727,0.364605919,49.26237632,-300.260888,101.2992277,-401.5601157,27385.42121,7943.158785,1.10065349,-0.133228917,401324530.9,21710.8,0.206681803,17992.15,0.003732166,17925.25,0.262386,24467.45,0.182756637,23995.35,0.324455005,TRUE
